Final_Cal_103FIN.EXE.txt	162735	bad plot type
Final_Cal_103FIN.EXE.txt	163681	Front panel not open
Final_Cal_103FIN.EXE.txt	210795	Core GPIB Read.vi
Final_Cal_103FIN.EXE.txt	212661	-Serial Poll Byte Lost
Final_Cal_103FIN.EXE.txt	215787	Core GPIB Read.vi.
Final_Cal_103FIN.EXE.txt	252015	(ABC) source: an indication of where an
Final_Cal_103FIN.EXE.txt	252322	(string) source: an indication of where an
Final_Cal_103FIN.EXE.txt	264110	Fluke 8840A.vi
Final_Cal_103FIN.EXE.txt	264213	Instr Read.vi
Final_Cal_103FIN.EXE.txt	310070	force re-open
Final_Cal_103FIN.EXE.txt	310141	force re-open"
Final_Cal_103FIN.EXE.txt	320012	Serial Port Write.vi
Final_Cal_103FIN.EXE.txt	321180	9When you use the serial port VIs under Windows, the port number parameter can have the following values:
Final_Cal_103FIN.EXE.txt	321257	When you use the serial port VIs on a Sun SPARCstation, the port number parameter is 0 for /dev/ttya, 1 for /dev/ttyb, and so on.
Final_Cal_103FIN.EXE.txt	321590	You can connect error code to one of the error handler VIs. These VIs furnish you with a description of the error, and give you options on how to proceed when an error occurs. For more information on using the error handler VIs, refer to Chapter 18, Error Handler VIs, of your LabVIEW user manual.
Final_Cal_103FIN.EXE.txt	321747	@<string read. The VI returns the bytes read in string read.
Final_Cal_103FIN.EXE.txt	324291	Serial Port Read.vi
Final_Cal_103FIN.EXE.txt	325275	UQbyte count is the number of bytes currently queued up in the serial port buffer.
Final_Cal_103FIN.EXE.txt	327803	Bytes At Serial Port.vi
Final_Cal_103FIN.EXE.txt	333731	String Read.vith$
Final_Cal_103FIN.EXE.txt	333823	Bytes At Serial Port.vi_
Final_Cal_103FIN.EXE.txt	334728	String Read.vi
Final_Cal_103FIN.EXE.txt	344305	Mode 2 - Read only.
Final_Cal_103FIN.EXE.txt	344530	Bytes At Serial Port.viMD
Final_Cal_103FIN.EXE.txt	344572	Serial Port Read.viMD
Final_Cal_103FIN.EXE.txt	425938	Serial Number4+
Final_Cal_103FIN.EXE.txt	445214	RINBNow adjust R1005 for the number
Final_Cal_103FIN.EXE.txt	491411	file path is the path name of the file. If file path is empty (default value) or is Not A Path, the VI displays a File dialog box from which you can select a file. Error 43 occurs if the user cancels the dialog. \Xfile size is the size of the file in bytes; it is also the location of the end of file.
Final_Cal_103FIN.EXE.txt	572358	mark after read (chars.)
Final_Cal_103FIN.EXE.txt	595333	Read Lines From File.vi
Final_Cal_nidaq.dll.txt	202857	?read@tDMAIterator@@UAEJPAXPAUtimeStruct@@@Z
