from_addr,to_addr,ref_type,source_type,is_primary
CODE:0000,CODE:37f9,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:000b,CODE:24dd,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:0013,CODE:2619,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:001b,CODE:0074,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:0023,CODE:26de,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:002f,EXTMEM:8a24,WRITE,ANALYSIS,1
CODE:0031,EXTMEM:8a25,WRITE,ANALYSIS,1
CODE:0045,CODE:40ab,UNCONDITIONAL_CALL,DEFAULT,1
CODE:004c,CODE:38bc,UNCONDITIONAL_CALL,DEFAULT,1
CODE:004f,CODE:05fe,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0052,BITS:08,WRITE,DEFAULT,1
CODE:0054,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:005a,EXTMEM:6f02,READ,ANALYSIS,1
CODE:005b,BITS:e2,DATA,DEFAULT,1
CODE:005b,CODE:0057,CONDITIONAL_JUMP,DEFAULT,1
CODE:005e,CODE:1bf0,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0061,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0077,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0080,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00a0,EXTMEM:8a9e,WRITE,ANALYSIS,1
CODE:00a1,CODE:38d0,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00a5,CODE:0091,CONDITIONAL_JUMP,DEFAULT,1
CODE:00b3,CODE:4682,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00b7,CODE:00c2,CONDITIONAL_JUMP,DEFAULT,1
CODE:00bd,CODE:38d5,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00c0,CODE:0124,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00c4,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00cd,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0127,EXTMEM:8035,READ,ANALYSIS,1
CODE:012a,EXTMEM:8035,WRITE,ANALYSIS,1
CODE:012e,EXTMEM:7b00,WRITE,ANALYSIS,1
CODE:0133,CODE:1f97,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0138,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0141,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0171,BITS:08,READ,DEFAULT,1
CODE:0171,CODE:0177,CONDITIONAL_JUMP,DEFAULT,1
CODE:0174,CODE:05c0,UNCONDITIONAL_CALL,DEFAULT,1
CODE:017b,EXTMEM:8085,WRITE,ANALYSIS,1
CODE:017d,EXTMEM:8086,WRITE,ANALYSIS,1
CODE:017f,EXTMEM:8087,WRITE,ANALYSIS,1
CODE:0181,EXTMEM:8088,WRITE,ANALYSIS,1
CODE:0185,EXTMEM:80b9,WRITE,ANALYSIS,1
CODE:0187,EXTMEM:80ba,WRITE,ANALYSIS,1
CODE:0189,EXTMEM:80bb,WRITE,ANALYSIS,1
CODE:018b,EXTMEM:80bc,WRITE,ANALYSIS,1
CODE:018f,EXTMEM:8108,READ,ANALYSIS,1
CODE:0190,CODE:0196,CONDITIONAL_JUMP,DEFAULT,1
CODE:0193,EXTMEM:8109,READ,ANALYSIS,1
CODE:0196,CODE:01a1,CONDITIONAL_JUMP,DEFAULT,1
CODE:0198,BITS:22,READ,DEFAULT,1
CODE:0198,CODE:01a1,CONDITIONAL_JUMP,DEFAULT,1
CODE:019b,BITS:08,READ,DEFAULT,1
CODE:019b,CODE:01a1,CONDITIONAL_JUMP,DEFAULT,1
CODE:019e,CODE:1bf0,UNCONDITIONAL_CALL,DEFAULT,1
CODE:01a1,BITS:09,WRITE,DEFAULT,1
CODE:01a6,CODE:4456,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0244,EXTMEM:81c0,READ,ANALYSIS,1
CODE:0247,EXTMEM:81c1,READ,ANALYSIS,1
CODE:024a,EXTMEM:81c2,READ,ANALYSIS,1
CODE:024d,EXTMEM:81c3,READ,ANALYSIS,1
CODE:0250,CODE:43e8,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0253,CODE:0239,CONDITIONAL_JUMP,DEFAULT,1
CODE:0255,BITS:08,WRITE,DEFAULT,1
CODE:0257,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02ec,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02f5,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0300,CODE:58c2,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0343,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:034c,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0362,EXTMEM:8035,READ,ANALYSIS,1
CODE:0365,EXTMEM:8035,WRITE,ANALYSIS,1
CODE:0369,EXTMEM:7b00,WRITE,ANALYSIS,1
CODE:036f,EXTMEM:8035,WRITE,ANALYSIS,1
CODE:0373,EXTMEM:7b00,WRITE,ANALYSIS,1
CODE:0374,BITS:33,READ,DEFAULT,1
CODE:0374,CODE:03b8,CONDITIONAL_JUMP,DEFAULT,1
CODE:0377,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:03b8,CODE:38ee,UNCONDITIONAL_CALL,DEFAULT,1
CODE:03bb,BITS:08,READ,DEFAULT,1
CODE:03bb,CODE:03c1,CONDITIONAL_JUMP,DEFAULT,1
CODE:03be,CODE:0171,UNCONDITIONAL_CALL,DEFAULT,1
CODE:03c1,CODE:38f8,UNCONDITIONAL_CALL,DEFAULT,1
CODE:03c8,EXTMEM:8a2b,WRITE,ANALYSIS,1
CODE:03ce,CODE:03e8,CONDITIONAL_JUMP,DEFAULT,1
CODE:03d0,BITS:30,READ,DEFAULT,1
CODE:03d0,CODE:03e8,CONDITIONAL_JUMP,DEFAULT,1
CODE:03d3,EXTMEM:8a2b,READ,ANALYSIS,1
CODE:03d9,CODE:38fd,UNCONDITIONAL_CALL,DEFAULT,1
CODE:03e0,EXTMEM:80f7,WRITE,ANALYSIS,1
CODE:03e2,EXTMEM:80f8,WRITE,ANALYSIS,1
CODE:03e3,BITS:20,WRITE,DEFAULT,1
CODE:03e5,CODE:0171,UNCONDITIONAL_CALL,DEFAULT,1
CODE:03eb,EXTMEM:8a2b,READ,ANALYSIS,1
CODE:03f1,CODE:03f6,CONDITIONAL_JUMP,DEFAULT,1
CODE:03f3,BITS:30,READ,DEFAULT,1
CODE:03f3,CODE:040b,CONDITIONAL_JUMP,DEFAULT,1
CODE:03f6,BITS:30,READ,DEFAULT,1
CODE:03f6,CODE:03fc,CONDITIONAL_JUMP,DEFAULT,1
CODE:03f9,CODE:0597,UNCONDITIONAL_CALL,DEFAULT,1
CODE:03ff,EXTMEM:8108,READ,ANALYSIS,1
CODE:0400,CODE:0406,CONDITIONAL_JUMP,DEFAULT,1
CODE:0403,EXTMEM:8109,READ,ANALYSIS,1
CODE:0406,CODE:040b,CONDITIONAL_JUMP,DEFAULT,1
CODE:0408,CODE:0597,UNCONDITIONAL_CALL,DEFAULT,1
CODE:040b,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0443,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:044c,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0597,BITS:20,READ,DEFAULT,1
CODE:0597,CODE:05bb,CONDITIONAL_JUMP,DEFAULT,1
CODE:059a,BITS:0a,READ,DEFAULT,1
CODE:059a,CODE:05bb,CONDITIONAL_JUMP,DEFAULT,1
CODE:059f,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:05a8,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:05bb,BITS:12,WRITE,DEFAULT,1
CODE:05bd,CODE:0171,UNCONDITIONAL_CALL,DEFAULT,1
CODE:05c0,CODE:1bf0,UNCONDITIONAL_CALL,DEFAULT,1
CODE:05c3,BITS:08,READ,DEFAULT,1
CODE:05c3,CODE:05fd,CONDITIONAL_JUMP,DEFAULT,1
CODE:05cb,CODE:151d,UNCONDITIONAL_CALL,DEFAULT,1
CODE:05d1,EXTMEM:8061,READ,ANALYSIS,1
CODE:05d4,EXTMEM:8061,WRITE,ANALYSIS,1
CODE:05d8,EXTMEM:7702,WRITE,ANALYSIS,1
CODE:05dc,EXTMEM:805c,READ,ANALYSIS,1
CODE:05df,EXTMEM:805c,WRITE,ANALYSIS,1
CODE:05e3,EXTMEM:7e02,WRITE,ANALYSIS,1
CODE:05e8,CODE:1f97,UNCONDITIONAL_CALL,DEFAULT,1
CODE:05eb,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0602,EXTMEM:8a42,WRITE,ANALYSIS,1
CODE:0608,EXTMEM:7b03,WRITE,ANALYSIS,1
CODE:060c,EXTMEM:7d03,WRITE,ANALYSIS,1
CODE:0610,EXTMEM:7e03,WRITE,ANALYSIS,1
CODE:0616,EXTMEM:7703,WRITE,ANALYSIS,1
CODE:061c,EXTMEM:6f03,WRITE,ANALYSIS,1
CODE:0622,EXTMEM:8061,WRITE,ANALYSIS,1
CODE:0626,EXTMEM:7702,WRITE,ANALYSIS,1
CODE:062c,CODE:151d,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0632,CODE:4456,UNCONDITIONAL_CALL,DEFAULT,1
CODE:1521,EXTMEM:8adc,WRITE,ANALYSIS,1
CODE:1524,EXTMEM:8add,WRITE,ANALYSIS,1
CODE:1528,EXTMEM:804f,READ,ANALYSIS,1
CODE:152b,EXTMEM:804f,WRITE,ANALYSIS,1
CODE:152f,EXTMEM:7d01,WRITE,ANALYSIS,1
CODE:1535,EXTMEM:804f,WRITE,ANALYSIS,1
CODE:1539,EXTMEM:7d01,WRITE,ANALYSIS,1
CODE:153d,EXTMEM:8061,READ,ANALYSIS,1
CODE:1540,EXTMEM:8061,WRITE,ANALYSIS,1
CODE:1544,EXTMEM:7702,WRITE,ANALYSIS,1
CODE:1546,CODE:1556,CONDITIONAL_JUMP,DEFAULT,1
CODE:1550,EXTMEM:8ade,WRITE,ANALYSIS,1
CODE:1553,EXTMEM:8adf,WRITE,ANALYSIS,1
CODE:1554,CODE:159c,UNCONDITIONAL_CALL,DEFAULT,1
CODE:155d,EXTMEM:8ade,WRITE,ANALYSIS,1
CODE:1560,EXTMEM:8adf,WRITE,ANALYSIS,1
