0001	1a8abd_416552_current_source_calibrationfconnect_	416552\ Current\ Source\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0002	686aea_4165e7_gain_calibrationfconnect_the_uut_an	4165e7\ Gain\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0003	158387_41672a_leakage_voltage_calibrationfconnect	41672a\ Leakage\ Voltage\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0004	1a16f9_3e59ee_current_source_calibrationfconnect_	3e59ee\ Current\ Source\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0005	6279bb_3e5a83_gain_calibrationfconnect_the_uut_an	3e5a83\ Gain\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0006	9e011e_3e5bc6_leakage_voltage_calibrationfconnect	3e5bc6\ Leakage\ Voltage\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0007	ecf861_267724_current_source_calibrationfconnect_	267724\ Current\ Source\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0008	003a4c_267a48_leakage_voltage_calibrationfconnect	267a48\ Leakage\ Voltage\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0009	fd943d_28da29_current_source_calibrationfconnect_	28da29\ Current\ Source\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0010	8abc03_28dd4d_leakage_voltage_calibrationfconnect	28dd4d\ Leakage\ Voltage\ CalibrationfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0011	01f23a_4168d1_leakage_current_testfconnect_the_uu	4168d1\ Leakage\ Current\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0012	dd3380_3e5d6d_leakage_current_testfconnect_the_uu	3e5d6d\ Leakage\ Current\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0013	5ebf32_5010ba_gain_calibration_failed_calibration	5010ba\ Gain\ Calibration"\ Failed\ Calibration\.\ Adjusted\ >10%
0014	746f5b_550b76_communication_error_0_failed_calibr	550b76\ Communication\ Error\.0\ Failed\ Calibration\.\ Offset\ Adjustment\ too\ high\.\(\ Failed\ Calibration\.\ Gain\ Adjustment>10%
0015	062977_27b216_gain_calibration_failed_calibration	27b216\ Gain\ Calibration"\ Failed\ Calibration\.\ Adjusted\ >10%
0016	56e545_2cb02e_communication_error_0_failed_calibr	2cb02e\ Communication\ Error\.0\ Failed\ Calibration\.\ Offset\ Adjustment\ too\ high\.\(\ Failed\ Calibration\.\ Gain\ Adjustment>10%
0017	37120c_1b8fa2_network_is_down_or_unreachable_netw	1b8fa2\ Network\ is\ down\ or\ unreachable\.\$Network\ address\ is\ currently\ in\ use\.;Not\ enough\ system\ memory\ to\ complete\ the\ network\ operation\.3System\ caused\ the\ network\ connection\ to\ be\ aborted\.
0018	9fc584_4167b9_d_a_testfconnect_the_uut_and_or_dvm	4167b9\ D/A\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0019	9ca57a_41683f_leakage_voltage_testfconnect_the_uu	41683f\ Leakage\ Voltage\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0020	983ea1_3e5c55_d_a_testfconnect_the_uut_and_or_dvm	3e5c55\ D/A\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0021	962973_3e5cdb_leakage_voltage_testfconnect_the_uu	3e5cdb\ Leakage\ Voltage\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0022	074929_267acb_d_a_testfconnect_the_uut_and_or_dvm	267acb\ D/A\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0023	cb9be7_267b3b_leakage_voltage_testfconnect_the_uu	267b3b\ Leakage\ Voltage\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0024	5a84b2_28ddd0_d_a_testfconnect_the_uut_and_or_dvm	28ddd0\ D/A\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0025	250db7_28de40_leakage_voltage_testfconnect_the_uu	28de40\ Leakage\ Voltage\ TestfConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0026	82b44e_413b7f_fconnect_the_uut_and_or_dvm_leads_t	413b7f\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0027	33afc0_4140d4_fconnect_the_uut_and_or_dvm_leads_t	4140d4\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0028	910e51_4142c6_fconnect_the_uut_and_or_dvm_leads_t	4142c6\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0029	c622ae_414378_fconnect_the_uut_and_or_dvm_leads_t	414378\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0030	df5080_4144d6_fconnect_the_uut_and_or_dvm_leads_t	4144d6\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0031	cef4f8_41465a_fconnect_the_uut_and_or_dvm_leads_t	41465a\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0032	2bf767_48c51b_now_connect_the_red_uut_to_the_h_te	48c51b\ Now\ connect\ the\ red\ UUT\ to\ the\ H\ Terminal\ of\ the\ decade\ box\ and\ set\ the\ box\ to\ 0\.022uF\(\.0219\)\.
0033	c69ad9_48cc6e_hey_i_said_connect_the_red_uut_to_t	48cc6e\ HEY!!\ I\ said:\ "Connect\ the\ red\ UUT\ to\ the\ H\ Terminal\ of\ the\ decade\ box\ and\ set\ the\ box\ to\ 0\.022uF\(\.0219\)"\.\ Please\ do\ this\ now!
0034	28e09e_48d0c3_now_connect_the_red_uut_to_the_h_te	48d0c3\ Now\ connect\ the\ red\ UUT\ to\ the\ H\ Terminal\ of\ the\ decade\ box\ and\ set\ the\ box\ to\ 0\.022uF\(\.0219\)\.
0035	efc54b_48d149_hey_i_said_connect_the_red_uut_to_t	48d149\ HEY!!\ I\ said:\ "Connect\ the\ red\ UUT\ to\ the\ H\ Terminal\ of\ the\ decade\ box\ and\ set\ the\ box\ to\ 0\.022uF\(\.0219\)"\.\ Please\ do\ this\ now!
0036	9925be_55037e_0_failed_calibration_offset_adjustm	55037e\ 0\ Failed\ Calibration\.\ Offset\ Adjustment\ too\ high\.W
0037	b372a9_2ca836_0_failed_calibration_offset_adjustm	2ca836\ 0\ Failed\ Calibration\.\ Offset\ Adjustment\ too\ high\.W
0038	e7163e_36ba9b_now_connect_the_red_uut_to_the_h_te	36ba9b\ Now\ connect\ the\ red\ UUT\ to\ the\ H\ Terminal\ of\ the\ decade\ box\ and\ set\ the\ box\ to\ 0\.022uF\(\.0219\)\.
0039	af177e_36c1ee_hey_i_said_connect_the_red_uut_to_t	36c1ee\ HEY!!\ I\ said:\ "Connect\ the\ red\ UUT\ to\ the\ H\ Terminal\ of\ the\ decade\ box\ and\ set\ the\ box\ to\ 0\.022uF\(\.0219\)"\.\ Please\ do\ this\ now!
0040	3ef692_36c643_now_connect_the_red_uut_to_the_h_te	36c643\ Now\ connect\ the\ red\ UUT\ to\ the\ H\ Terminal\ of\ the\ decade\ box\ and\ set\ the\ box\ to\ 0\.022uF\(\.0219\)\.
0041	8c39c9_36c6c9_hey_i_said_connect_the_red_uut_to_t	36c6c9\ HEY!!\ I\ said:\ "Connect\ the\ red\ UUT\ to\ the\ H\ Terminal\ of\ the\ decade\ box\ and\ set\ the\ box\ to\ 0\.022uF\(\.0219\)"\.\ Please\ do\ this\ now!
0042	3c2c0d_3e301b_fconnect_the_uut_and_or_dvm_leads_t	3e301b\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0043	e85b03_3e3570_fconnect_the_uut_and_or_dvm_leads_t	3e3570\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0044	482097_3e3762_fconnect_the_uut_and_or_dvm_leads_t	3e3762\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0045	5c5013_3e3814_fconnect_the_uut_and_or_dvm_leads_t	3e3814\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0046	cf84c1_3e3972_fconnect_the_uut_and_or_dvm_leads_t	3e3972\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
0047	c5ab48_3e3af6_fconnect_the_uut_and_or_dvm_leads_t	3e3af6\ fConnect\ the\ UUT\ and/or\ DVM\ leads\ to
